matchday,position,team_name,playedGames
24,1,FC Internazionale Milano,24
24,2,AC Milan,24
24,3,Juventus FC,24
24,4,Atalanta BC,24
24,6,SSC Napoli,24
24,7,SS Lazio,24
24,8,US Sassuolo Calcio,24
24,10,UC Sampdoria,24
24,11,Bologna FC 1909,24
24,12,Udinese Calcio,24
24,13,Genoa CFC,24
24,14,Spezia Calcio,24
24,15,ACF Fiorentina,24
24,16,Benevento Calcio,24
24,17,Torino FC,24
24,18,Cagliari Calcio,24
24,19,Parma Calcio 1913,24
24,20,FC Crotone,24
25,1,FC Internazionale Milano,25
25,2,AC Milan,25
25,3,Juventus FC,25
25,4,Atalanta BC,25
25,6,SSC Napoli,25
25,7,SS Lazio,25
25,8,US Sassuolo Calcio,25
25,10,UC Sampdoria,25
25,11,Udinese Calcio,25
25,12,Bologna FC 1909,25
25,13,Genoa CFC,25
25,14,ACF Fiorentina,25
25,15,Spezia Calcio,25
25,16,Benevento Calcio,25
25,17,Torino FC,25
25,18,Cagliari Calcio,25
25,19,Parma Calcio 1913,25
25,20,FC Crotone,25
26,1,FC Internazionale Milano,26
26,2,AC Milan,26
26,3,Juventus FC,26
26,5,Atalanta BC,26
26,6,SSC Napoli,26
26,7,SS Lazio,26
26,8,US Sassuolo Calcio,26
26,10,UC Sampdoria,26
26,11,Udinese Calcio,26
26,12,Bologna FC 1909,26
26,13,Genoa CFC,26
26,14,ACF Fiorentina,26
26,15,Spezia Calcio,26
26,16,Benevento Calcio,26
26,17,Torino FC,26
26,18,Cagliari Calcio,26
26,19,Parma Calcio 1913,26
26,20,FC Crotone,26
27,1,FC Internazionale Milano,27
27,2,Juventus FC,27
27,3,AC Milan,27
27,4,Atalanta BC,27
27,5,SSC Napoli,27
27,7,SS Lazio,27
27,8,US Sassuolo Calcio,27
27,10,Udinese Calcio,27
27,11,UC Sampdoria,27
27,12,Bologna FC 1909,27
27,13,ACF Fiorentina,27
27,14,Genoa CFC,27
27,15,Spezia Calcio,27
27,16,Benevento Calcio,27
27,17,Torino FC,27
27,18,Cagliari Calcio,27
27,19,Parma Calcio 1913,27
27,20,FC Crotone,27
28,1,FC Internazionale Milano,28
28,2,AC Milan,28
28,3,Juventus FC,28
28,4,Atalanta BC,28
28,5,SSC Napoli,28
28,7,SS Lazio,28
28,8,US Sassuolo Calcio,28
28,10,UC Sampdoria,28
28,11,Bologna FC 1909,28
28,12,Udinese Calcio,28
28,13,Genoa CFC,28
28,14,ACF Fiorentina,28
28,15,Spezia Calcio,28
28,16,Benevento Calcio,28
28,17,Torino FC,28
28,18,Cagliari Calcio,28
28,19,Parma Calcio 1913,28
28,20,FC Crotone,28
29,1,FC Internazionale Milano,29
29,2,AC Milan,29
29,3,Juventus FC,29
29,4,Atalanta BC,29
29,5,SSC Napoli,29
29,6,SS Lazio,29
29,8,US Sassuolo Calcio,29
29,10,UC Sampdoria,29
29,11,Bologna FC 1909,29
29,12,Udinese Calcio,29
29,13,Genoa CFC,29
29,14,ACF Fiorentina,29
29,15,Benevento Calcio,29
29,16,Spezia Calcio,29
29,17,Torino FC,29
29,18,Cagliari Calcio,29
29,19,Parma Calcio 1913,29
29,20,FC Crotone,29
30,1,FC Internazionale Milano,30
30,2,AC Milan,30
30,3,Juventus FC,30
30,4,Atalanta BC,30
30,5,SSC Napoli,30
30,6,SS Lazio,30
30,8,US Sassuolo Calcio,30
30,10,UC Sampdoria,30
30,11,Bologna FC 1909,30
30,12,Udinese Calcio,30
30,13,Genoa CFC,30
30,14,Spezia Calcio,30
30,15,ACF Fiorentina,30
30,16,Benevento Calcio,30
30,17,Torino FC,30
30,18,Cagliari Calcio,30
30,19,Parma Calcio 1913,30
30,20,FC Crotone,30
31,1,FC Internazionale Milano,31
31,2,AC Milan,31
31,3,Atalanta BC,31
31,4,Juventus FC,31
31,5,SSC Napoli,31
31,6,SS Lazio,31
31,8,US Sassuolo Calcio,31
31,9,UC Sampdoria,31
31,11,Bologna FC 1909,31
31,12,Udinese Calcio,31
31,13,Genoa CFC,31
31,14,Spezia Calcio,31
31,15,Torino FC,31
31,16,ACF Fiorentina,31
31,17,Benevento Calcio,31
31,18,Cagliari Calcio,31
31,19,Parma Calcio 1913,31
31,20,FC Crotone,31
32,1,FC Internazionale Milano,32
32,2,AC Milan,32
32,3,Juventus FC,32
32,4,Atalanta BC,32
32,5,SSC Napoli,32
32,6,SS Lazio,32
32,8,US Sassuolo Calcio,32
32,9,UC Sampdoria,32
32,11,Bologna FC 1909,32
32,12,Udinese Calcio,32
32,13,ACF Fiorentina,32
32,14,Genoa CFC,32
32,15,Spezia Calcio,32
32,16,Torino FC,32
32,17,Benevento Calcio,32
32,18,Cagliari Calcio,32
32,19,Parma Calcio 1913,32
32,20,FC Crotone,32
33,1,FC Internazionale Milano,33
33,2,Atalanta BC,33
33,3,SSC Napoli,33
33,4,Juventus FC,33
33,5,AC Milan,33
33,6,SS Lazio,33
33,8,US Sassuolo Calcio,33
33,9,UC Sampdoria,33
33,10,Udinese Calcio,33
33,12,Bologna FC 1909,33
33,13,Genoa CFC,33
33,14,ACF Fiorentina,33
33,15,Spezia Calcio,33
33,16,Torino FC,33
33,17,Cagliari Calcio,33
33,18,Benevento Calcio,33
33,19,Parma Calcio 1913,33
33,20,FC Crotone,33
34,1,FC Internazionale Milano,34
34,2,Atalanta BC,34
34,3,Juventus FC,34
34,4,AC Milan,34
34,5,SSC Napoli,34
34,6,SS Lazio,34
34,8,US Sassuolo Calcio,34
34,9,UC Sampdoria,34
34,11,Udinese Calcio,34
34,12,Bologna FC 1909,34
34,13,Genoa CFC,34
34,14,Torino FC,34
34,15,ACF Fiorentina,34
34,16,Spezia Calcio,34
34,17,Cagliari Calcio,34
34,18,Benevento Calcio,34
34,19,Parma Calcio 1913,34
34,20,FC Crotone,34
35,1,FC Internazionale Milano,35
35,2,Atalanta BC,35
35,3,AC Milan,35
35,4,SSC Napoli,35
35,5,Juventus FC,35
35,6,SS Lazio,35
35,8,US Sassuolo Calcio,35
35,9,UC Sampdoria,35
35,11,Udinese Calcio,35
35,12,Bologna FC 1909,35
35,13,ACF Fiorentina,35
35,14,Torino FC,35
35,15,Genoa CFC,35
35,16,Cagliari Calcio,35
35,17,Spezia Calcio,35
35,18,Benevento Calcio,35
35,19,Parma Calcio 1913,35
35,20,FC Crotone,35
36,1,FC Internazionale Milano,36
36,2,Atalanta BC,36
36,3,AC Milan,36
36,4,SSC Napoli,36
36,5,Juventus FC,36
36,6,SS Lazio,36
36,8,US Sassuolo Calcio,36
36,9,UC Sampdoria,36
36,11,Bologna FC 1909,36
36,12,Udinese Calcio,36
36,13,ACF Fiorentina,36
36,14,Genoa CFC,36
36,15,Cagliari Calcio,36
36,16,Torino FC,36
36,17,Spezia Calcio,36
36,18,Benevento Calcio,36
36,19,FC Crotone,36
