matchday,position,team_name,playedGames,points,goalsFor,goalsAgainst,goalDifference
17,1,FC Internazionale Milano,17,40,43,15,28
17,2,AC Milan,17,39,36,19,17
17,3,Atalanta BC,17,37,37,20,17
17,4,SSC Napoli,17,36,34,13,21
17,5,ACF Fiorentina,17,30,31,22,9
17,6,AS Roma,17,28,26,19,7
17,7,Juventus FC,17,28,23,17,6
17,8,Empoli FC,17,26,27,29,-2
17,9,SS Lazio,17,25,33,32,1
17,10,Bologna FC 1909,17,24,24,29,-5
17,11,Hellas Verona FC,17,23,33,30,3
17,12,US Sassuolo Calcio,17,23,28,26,2
17,13,Torino FC,17,22,22,18,4
17,14,UC Sampdoria,17,18,25,33,-8
17,15,Udinese Calcio,17,17,22,28,-6
17,16,Venezia FC,17,16,16,30,-14
17,17,Spezia Calcio,17,12,17,38,-21
17,18,Genoa CFC,17,10,18,34,-16
17,19,Cagliari Calcio,17,10,17,34,-17
17,20,US Salernitana 1919,17,8,11,37,-26
18,1,FC Internazionale Milano,18,43,48,15,33
18,2,SSC Napoli,18,39,35,13,22
18,3,AC Milan,18,39,36,20,16
18,4,Atalanta BC,18,37,38,24,14
18,5,AS Roma,18,31,30,20,10
18,6,ACF Fiorentina,18,31,33,24,9
18,7,Juventus FC,18,31,25,17,8
18,8,SS Lazio,18,28,36,33,3
18,9,Empoli FC,18,27,28,30,-2
18,10,Torino FC,18,25,23,18,5
18,11,US Sassuolo Calcio,18,24,30,28,2
18,12,Bologna FC 1909,18,24,24,31,-7
18,13,Hellas Verona FC,18,23,33,31,2
18,14,Udinese Calcio,18,20,26,28,-2
18,15,UC Sampdoria,18,19,26,34,-8
18,16,Venezia FC,18,17,17,31,-14
18,17,Spezia Calcio,18,13,18,39,-21
18,18,Genoa CFC,18,10,19,37,-18
18,19,Cagliari Calcio,18,10,17,38,-21
18,20,US Salernitana 1919,18,8,11,42,-31
19,1,FC Internazionale Milano,19,46,49,15,34
19,2,AC Milan,19,42,40,22,18
19,3,SSC Napoli,19,39,35,14,21
19,4,Atalanta BC,19,38,38,24,14
19,5,Juventus FC,19,34,27,17,10
19,6,AS Roma,19,32,31,21,10
19,7,ACF Fiorentina,19,32,34,25,9
19,8,SS Lazio,19,31,39,34,5
19,9,Empoli FC,19,27,30,34,-4
19,10,Bologna FC 1909,19,27,27,31,-4
19,11,Torino FC,19,25,23,19,4
19,12,Hellas Verona FC,19,24,34,32,2
19,13,US Sassuolo Calcio,19,24,30,31,-1
19,14,Udinese Calcio,19,20,26,29,-3
19,15,UC Sampdoria,19,20,27,35,-8
19,16,Venezia FC,19,17,18,34,-16
19,17,Spezia Calcio,19,16,19,39,-20
19,18,Genoa CFC,19,11,19,37,-18
19,19,US Salernitana 1919,19,11,12,42,-30
19,20,Cagliari Calcio,19,10,17,40,-23
20,1,FC Internazionale Milano,20,46,50,17,33
20,2,AC Milan,20,45,43,23,20
20,3,SSC Napoli,20,40,36,15,21
20,4,Atalanta BC,20,39,42,28,14
20,5,Juventus FC,20,35,28,18,10
20,6,AS Roma,20,32,32,24,8
20,7,SS Lazio,20,32,42,37,5
20,8,ACF Fiorentina,20,32,34,29,5
20,9,Bologna FC 1909,20,30,29,32,-3
20,10,Empoli FC,20,28,33,37,-4
20,11,Hellas Verona FC,20,27,36,33,3
20,12,Torino FC,20,26,27,23,4
20,13,US Sassuolo Calcio,20,25,31,32,-1
20,14,Udinese Calcio,20,23,30,29,1
20,15,UC Sampdoria,20,20,28,37,-9
20,16,Venezia FC,20,17,19,36,-17
20,17,Spezia Calcio,20,16,20,41,-21
20,18,US Salernitana 1919,20,14,14,43,-29
20,19,Cagliari Calcio,20,13,19,41,-22
20,20,Genoa CFC,20,12,20,38,-18
21,1,FC Internazionale Milano,21,49,52,18,34
21,2,AC Milan,21,48,46,23,23
21,3,SSC Napoli,21,43,37,15,22
21,4,Atalanta BC,21,42,48,30,18
21,5,Juventus FC,21,38,32,21,11
21,6,AS Roma,21,32,35,28,7
21,7,SS Lazio,21,32,43,39,4
21,8,ACF Fiorentina,21,32,34,33,1
21,9,Bologna FC 1909,21,30,30,34,-4
21,10,Torino FC,21,29,31,23,8
21,11,US Sassuolo Calcio,21,28,36,33,3
21,12,Empoli FC,21,28,34,42,-8
21,13,Hellas Verona FC,21,27,37,35,2
21,14,Udinese Calcio,21,23,32,35,-3
21,15,UC Sampdoria,21,20,28,38,-10
21,16,Spezia Calcio,21,19,21,41,-20
21,17,Venezia FC,21,17,19,39,-20
21,18,US Salernitana 1919,21,17,16,44,-28
21,19,Cagliari Calcio,21,16,21,42,-21
21,20,Genoa CFC,21,12,20,39,-19
22,1,FC Internazionale Milano,22,50,52,18,34
22,2,AC Milan,22,48,47,25,22
22,3,SSC Napoli,22,46,39,15,24
22,4,Atalanta BC,22,43,48,30,18
22,5,Juventus FC,22,41,34,21,13
22,6,AS Roma,22,35,36,28,8
22,7,SS Lazio,22,35,46,39,7
22,8,ACF Fiorentina,22,35,40,33,7
22,9,Torino FC,22,32,33,24,9
22,10,Hellas Verona FC,22,30,41,37,4
22,11,Bologna FC 1909,22,30,30,36,-6
22,12,Empoli FC,22,29,35,43,-8
22,13,US Sassuolo Calcio,22,28,38,37,1
22,14,Udinese Calcio,22,23,32,37,-5
22,15,Spezia Calcio,22,22,23,42,-19
22,16,UC Sampdoria,22,20,29,40,-11
22,17,Venezia FC,22,18,20,40,-20
22,18,US Salernitana 1919,22,17,16,47,-31
22,19,Cagliari Calcio,22,16,21,43,-22
22,20,Genoa CFC,22,12,20,45,-25
23,1,FC Internazionale Milano,23,53,54,19,35
23,2,SSC Napoli,23,49,43,16,27
23,3,AC Milan,23,49,47,25,22
23,4,Atalanta BC,23,44,48,30,18
23,5,Juventus FC,23,42,34,21,13
23,6,AS Roma,23,38,40,30,10
23,7,SS Lazio,23,36,46,39,7
23,8,ACF Fiorentina,23,36,41,34,7
23,9,Torino FC,23,33,34,25,9
23,10,Hellas Verona FC,23,33,43,38,5
23,11,Bologna FC 1909,23,30,31,38,-7
23,12,US Sassuolo Calcio,23,29,39,38,1
23,13,Empoli FC,23,29,37,47,-10
23,14,Spezia Calcio,23,25,24,42,-18
23,15,Udinese Calcio,23,24,32,37,-5
23,16,UC Sampdoria,23,20,29,41,-12
23,17,Venezia FC,23,18,21,42,-21
23,18,Cagliari Calcio,23,17,22,44,-22
23,19,US Salernitana 1919,23,17,17,51,-34
23,20,Genoa CFC,23,13,20,45,-25
24,1,FC Internazionale Milano,24,53,55,21,34
24,2,SSC Napoli,24,52,45,16,29
24,3,AC Milan,24,52,49,26,23
24,4,Juventus FC,24,45,36,21,15
24,5,Atalanta BC,24,44,49,32,17
24,6,SS Lazio,24,39,49,39,10
24,7,AS Roma,24,39,40,30,10
24,8,ACF Fiorentina,24,36,41,37,4
24,9,Torino FC,24,33,34,27,7
24,10,Hellas Verona FC,24,33,43,40,3
24,11,Bologna FC 1909,24,31,31,38,-7
24,12,Empoli FC,24,30,37,47,-10
24,13,US Sassuolo Calcio,24,29,39,42,-3
24,14,Udinese Calcio,24,27,34,37,-3
24,15,Spezia Calcio,24,26,26,44,-18
24,16,UC Sampdoria,24,23,33,41,-8
24,17,Cagliari Calcio,24,20,24,45,-21
24,18,Venezia FC,24,18,21,44,-23
24,19,US Salernitana 1919,24,18,19,53,-34
24,20,Genoa CFC,24,14,20,45,-25
25,1,AC Milan,25,55,50,26,24
25,2,FC Internazionale Milano,25,54,56,22,34
25,3,SSC Napoli,25,53,46,17,29
25,4,Juventus FC,25,46,37,22,15
25,5,Atalanta BC,25,45,50,33,17
25,6,SS Lazio,25,42,52,39,13
25,7,AS Roma,25,40,42,32,10
25,8,ACF Fiorentina,25,39,43,38,5
25,9,Hellas Verona FC,25,36,47,40,7
25,10,Torino FC,25,33,35,29,6
25,11,Empoli FC,25,31,38,48,-10
25,12,Bologna FC 1909,25,31,31,41,-10
25,13,US Sassuolo Calcio,25,30,41,44,-3
25,14,Udinese Calcio,25,27,34,41,-7
25,15,Spezia Calcio,25,26,27,46,-19
25,16,UC Sampdoria,25,23,33,42,-9
25,17,Cagliari Calcio,25,21,25,46,-21
25,18,Venezia FC,25,21,23,45,-22
25,19,US Salernitana 1919,25,19,20,54,-34
25,20,Genoa CFC,25,15,21,46,-25
26,1,AC Milan,26,56,52,28,24
26,2,FC Internazionale Milano,26,54,56,24,32
26,3,SSC Napoli,26,54,47,18,29
26,4,Juventus FC,26,47,38,23,15
26,5,Atalanta BC,26,45,50,34,16
26,6,SS Lazio,26,43,53,40,13
26,7,ACF Fiorentina,26,42,44,38,6
26,8,AS Roma,26,41,44,34,10
26,9,Hellas Verona FC,26,37,49,42,7
26,10,Torino FC,26,34,36,30,6
26,11,Bologna FC 1909,26,34,33,42,-9
26,12,US Sassuolo Calcio,26,33,43,44,-1
26,13,Empoli FC,26,31,38,50,-12
26,14,Udinese Calcio,26,28,35,42,-7
26,15,UC Sampdoria,26,26,35,42,-7
26,16,Spezia Calcio,26,26,28,48,-20
26,17,Cagliari Calcio,26,22,26,47,-21
26,18,Venezia FC,26,22,24,46,-22
26,19,US Salernitana 1919,26,20,22,56,-34
26,20,Genoa CFC,26,16,22,47,-25
27,1,SSC Napoli,27,57,49,19,30
27,2,AC Milan,27,57,53,29,24
27,3,FC Internazionale Milano,27,55,56,24,32
27,4,Juventus FC,27,50,41,25,16
27,5,Atalanta BC,27,48,54,34,20
27,6,AS Roma,27,44,45,34,11
27,7,SS Lazio,27,43,54,42,12
27,8,ACF Fiorentina,27,42,45,40,5
27,9,Hellas Verona FC,27,40,52,43,9
27,10,US Sassuolo Calcio,27,36,45,45,0
27,11,Bologna FC 1909,27,35,34,43,-9
27,12,Torino FC,27,34,37,32,5
27,13,Empoli FC,27,31,40,53,-13
27,14,Udinese Calcio,27,29,36,43,-7
27,15,UC Sampdoria,27,26,35,46,-11
27,16,Spezia Calcio,27,26,28,49,-21
27,17,Cagliari Calcio,27,25,28,48,-20
27,18,Venezia FC,27,22,25,49,-24
27,19,US Salernitana 1919,27,21,23,57,-34
27,20,Genoa CFC,27,17,22,47,-25
28,1,AC Milan,28,60,54,29,25
28,2,FC Internazionale Milano,28,58,61,24,37
28,3,SSC Napoli,28,57,49,20,29
28,4,Juventus FC,28,53,42,25,17
28,5,Atalanta BC,28,48,54,35,19
28,6,AS Roma,28,47,46,34,12
28,7,SS Lazio,28,46,57,42,15
28,8,ACF Fiorentina,28,43,46,41,5
28,9,Hellas Verona FC,28,41,53,44,9
28,10,US Sassuolo Calcio,28,39,49,46,3
28,11,Bologna FC 1909,28,36,34,43,-9
28,12,Torino FC,28,35,37,32,5
28,13,Udinese Calcio,28,32,38,44,-6
28,14,Empoli FC,28,32,40,53,-13
28,15,UC Sampdoria,28,26,36,48,-12
28,16,Spezia Calcio,28,26,28,50,-22
28,17,Cagliari Calcio,28,25,28,51,-23
28,18,Venezia FC,28,22,26,53,-27
28,19,US Salernitana 1919,28,21,23,62,-39
28,20,Genoa CFC,28,18,22,47,-25
29,1,AC Milan,29,63,55,29,26
29,2,SSC Napoli,29,60,51,21,30
29,3,FC Internazionale Milano,29,59,62,25,37
29,4,Juventus FC,29,56,45,26,19
29,5,Atalanta BC,29,49,54,35,19
29,6,SS Lazio,29,49,58,42,16
29,7,AS Roma,29,48,47,35,12
29,8,ACF Fiorentina,29,46,47,41,6
29,9,Hellas Verona FC,29,41,54,46,8
29,10,US Sassuolo Calcio,29,40,51,48,3
29,11,Torino FC,29,36,38,33,5
29,12,Bologna FC 1909,29,36,34,44,-10
