matchday,position,team_name,playedGames
25,7,Atalanta BC,25
25,8,Bologna FC 1909,25
25,9,Torino FC,25
25,10,Udinese Calcio,25
25,11,AC Monza,25
25,12,ACF Fiorentina,25
25,13,US Sassuolo Calcio,25
25,14,Empoli FC,25
25,15,US Lecce,25
25,16,US Salernitana 1919,25
25,17,Spezia Calcio,25
25,18,Hellas Verona FC,25
25,19,US Cremonese,25
25,20,UC Sampdoria,25
26,1,SSC Napoli,26
26,2,Juventus FC,26
26,3,FC Internazionale Milano,26
26,4,SS Lazio,26
26,5,AC Milan,26
26,6,AS Roma,26
26,7,Atalanta BC,26
26,8,Torino FC,26
26,9,Bologna FC 1909,26
26,10,Udinese Calcio,26
26,11,ACF Fiorentina,26
26,12,AC Monza,26
26,13,US Sassuolo Calcio,26
26,14,Empoli FC,26
26,15,US Lecce,26
26,16,US Salernitana 1919,26
26,17,Spezia Calcio,26
26,18,Hellas Verona FC,26
26,19,US Cremonese,26
26,20,UC Sampdoria,26
27,1,SSC Napoli,27
27,2,Juventus FC,27
27,3,SS Lazio,27
27,4,FC Internazionale Milano,27
27,5,AC Milan,27
27,6,AS Roma,27
27,7,Atalanta BC,27
27,8,Udinese Calcio,27
27,9,ACF Fiorentina,27
27,10,Bologna FC 1909,27
27,11,Torino FC,27
27,12,US Sassuolo Calcio,27
27,13,AC Monza,27
27,14,Empoli FC,27
27,15,US Lecce,27
27,16,US Salernitana 1919,27
27,17,Spezia Calcio,27
27,18,Hellas Verona FC,27
27,19,UC Sampdoria,27
27,20,US Cremonese,27
28,1,SSC Napoli,28
28,2,Juventus FC,28
28,3,SS Lazio,28
28,4,AC Milan,28
28,5,FC Internazionale Milano,28
28,6,AS Roma,28
28,7,Atalanta BC,28
28,8,ACF Fiorentina,28
28,9,Bologna FC 1909,28
28,10,Udinese Calcio,28
28,11,Torino FC,28
28,12,US Sassuolo Calcio,28
28,13,AC Monza,28
28,14,Empoli FC,28
28,15,US Salernitana 1919,28
28,16,US Lecce,28
28,17,Spezia Calcio,28
28,18,Hellas Verona FC,28
28,19,UC Sampdoria,28
28,20,US Cremonese,28
29,1,SSC Napoli,29
29,2,Juventus FC,29
29,3,SS Lazio,29
29,4,AS Roma,29
29,5,AC Milan,29
29,6,FC Internazionale Milano,29
29,7,Atalanta BC,29
29,8,Bologna FC 1909,29
29,9,ACF Fiorentina,29
29,10,Udinese Calcio,29
29,11,Torino FC,29
29,12,US Sassuolo Calcio,29
29,13,AC Monza,29
29,14,Empoli FC,29
29,15,US Salernitana 1919,29
29,16,US Lecce,29
29,17,Spezia Calcio,29
29,18,Hellas Verona FC,29
29,19,US Cremonese,29
29,20,UC Sampdoria,29
30,1,SSC Napoli,30
30,2,SS Lazio,30
30,3,Juventus FC,30
30,4,AS Roma,30
30,5,AC Milan,30
30,6,FC Internazionale Milano,30
30,7,Atalanta BC,30
30,8,Bologna FC 1909,30
30,9,ACF Fiorentina,30
30,10,US Sassuolo Calcio,30
30,11,Udinese Calcio,30
30,12,Torino FC,30
30,13,AC Monza,30
30,14,Empoli FC,30
30,15,US Salernitana 1919,30
30,16,US Lecce,30
30,17,Spezia Calcio,30
30,18,Hellas Verona FC,30
30,19,US Cremonese,30
30,20,UC Sampdoria,30
31,1,SSC Napoli,31
31,2,SS Lazio,31
31,3,Juventus FC,31
31,4,AC Milan,31
31,5,AS Roma,31
31,6,FC Internazionale Milano,31
31,7,Atalanta BC,31
31,8,Bologna FC 1909,31
31,9,Udinese Calcio,31
31,10,ACF Fiorentina,31
31,11,Torino FC,31
31,12,AC Monza,31
31,13,US Sassuolo Calcio,31
31,14,US Salernitana 1919,31
31,15,Empoli FC,31
31,16,US Lecce,31
31,17,Spezia Calcio,31
31,18,Hellas Verona FC,31
31,19,US Cremonese,31
31,20,UC Sampdoria,31
32,1,SSC Napoli,32
32,2,SS Lazio,32
32,3,Juventus FC,32
32,4,FC Internazionale Milano,32
32,5,AC Milan,32
32,6,AS Roma,32
32,7,Atalanta BC,32
32,8,ACF Fiorentina,32
32,9,Bologna FC 1909,32
32,10,AC Monza,32
32,11,US Sassuolo Calcio,32
32,12,Udinese Calcio,32
32,13,Torino FC,32
32,14,US Salernitana 1919,32
32,15,Empoli FC,32
32,16,US Lecce,32
32,17,Hellas Verona FC,32
32,18,Spezia Calcio,32
32,19,US Cremonese,32
32,20,UC Sampdoria,32
33,1,SSC Napoli,33
33,2,SS Lazio,33
33,3,Juventus FC,33
33,4,FC Internazionale Milano,33
33,5,Atalanta BC,33
33,6,AC Milan,33
33,7,AS Roma,33
33,8,ACF Fiorentina,33
33,9,Bologna FC 1909,33
33,10,AC Monza,33
33,11,Torino FC,33
33,12,Udinese Calcio,33
33,13,US Sassuolo Calcio,33
33,14,US Salernitana 1919,33
33,15,Empoli FC,33
33,16,US Lecce,33
33,17,Hellas Verona FC,33
33,18,Spezia Calcio,33
33,19,US Cremonese,33
33,20,UC Sampdoria,33
34,1,SSC Napoli,34
34,2,Juventus FC,34
34,3,SS Lazio,34
34,4,FC Internazionale Milano,34
34,5,AC Milan,34
34,6,Atalanta BC,34
34,7,AS Roma,34
34,8,ACF Fiorentina,34
34,9,Udinese Calcio,34
34,10,Bologna FC 1909,34
34,11,AC Monza,34
34,12,Torino FC,34
34,13,US Sassuolo Calcio,34
34,14,Empoli FC,34
34,15,US Salernitana 1919,34
34,16,US Lecce,34
34,17,Hellas Verona FC,34
34,18,Spezia Calcio,34
34,19,US Cremonese,34
34,20,UC Sampdoria,34
35,1,SSC Napoli,35
35,2,Juventus FC,35
35,3,FC Internazionale Milano,35
35,4,SS Lazio,35
35,5,AC Milan,35
35,6,AS Roma,35
35,7,Atalanta BC,35
35,8,ACF Fiorentina,35
35,9,AC Monza,35
35,10,Torino FC,35
35,11,Bologna FC 1909,35
35,12,Udinese Calcio,35
35,13,US Sassuolo Calcio,35
35,14,Empoli FC,35
35,15,US Salernitana 1919,35
35,16,US Lecce,35
35,17,Hellas Verona FC,35
35,18,Spezia Calcio,35
35,19,US Cremonese,35
35,20,UC Sampdoria,35
36,1,SSC Napoli,36
36,2,Juventus FC,36
36,3,SS Lazio,36
36,4,FC Internazionale Milano,36
36,5,AC Milan,36
36,6,Atalanta BC,36
36,7,AS Roma,36
36,8,AC Monza,36
36,9,ACF Fiorentina,36
36,10,Bologna FC 1909,36
36,11,Torino FC,36
36,12,Udinese Calcio,36
36,13,US Sassuolo Calcio,36
36,14,Empoli FC,36
36,15,US Salernitana 1919,36
36,16,US Lecce,36
36,17,Spezia Calcio,36
36,18,Hellas Verona FC,36
36,19,US Cremonese,36
36,20,UC Sampdoria,36
37,1,SSC Napoli,37
37,2,SS Lazio,37
37,3,FC Internazionale Milano,37
37,4,Juventus FC,37
37,5,AC Milan,37
37,6,Atalanta BC,37
37,7,AS Roma,37
37,8,ACF Fiorentina,37
37,9,Torino FC,37
37,10,AC Monza,37
37,11,Bologna FC 1909,37
